Tissue,Pathway,EnsemblID,Gene_Symbol,EntrezID,Spaceflight_Log2FC,Meta_P_value,FDR_padj,n_missions,n_analysis_units,Flight_Samples_Count
Cerebellum,NER,ENSMUSG00000026048,Ercc5,22592,-0.0082483576155102,0.9208750831965,0.989934849680132,1,1,9
Cerebellum,MMR,ENSMUSG00000032498,Mlh1,17350,0.345853419871868,0.0096560578997659,0.149076078357723,1,1,9
Cerebellum,MMR,ENSMUSG00000024151,Msh2,17685,0.226339448168569,0.0033443753047098,0.0741661178115029,1,1,9
Cerebellum,MMR,ENSMUSG00000014850,Msh3,17686,0.184020456446635,0.0054813190949492,0.102265934043459,1,1,9
Cerebellum,MMR,ENSMUSG00000005370,Msh6,17688,-0.0876907770154693,0.255651336937152,0.739620286506049,1,1,9
Cerebellum,MMR,ENSMUSG00000079109,Pms2,18861,0.395053558456231,0.0006121594900961,0.0229521601883055,1,1,9
Cerebellum,FA,ENSMUSG00000032815,Fanca,14087,0.0139877934565836,0.983244270743774,0.999345438546198,1,1,9
Cerebellum,FA,ENSMUSG00000047757,Fancb,237211,-0.211242643384242,0.0787610551981628,0.46071991855918,1,1,9
Cerebellum,FA,ENSMUSG00000021461,Fancc,14088,-0.0472832401360123,0.78819381959952,0.965964435816203,1,1,9
Cerebellum,FA,ENSMUSG00000007570,Fance,72775,-0.108618942859228,0.602739189301446,0.924421224576534,1,1,9
Cerebellum,FA,ENSMUSG00000092118,Fancf,100040608,0.105452344737369,0.392654329799381,0.834655490618016,1,1,9
Cerebellum,FA,ENSMUSG00000028453,Fancg,60534,-0.130412140181875,0.223051172511976,0.708048655062971,1,1,9
Cerebellum,FA,ENSMUSG00000004018,Fancl,67030,-0.0499615061771373,0.619439227605399,0.927112524773733,1,1,9
Cerebellum,FA,ENSMUSG00000026429,Ube2t,67196,0.137454879393472,0.460794253895513,0.870172324911128,1,1,9
Cerebellum,FA,ENSMUSG00000055884,Fancm,104806,0.571130054875395,8.29577077587658e-07,0.0001590493414072,1,1,9
Cerebellum,FA,ENSMUSG00000003662,Ciao1,26371,-0.0516614326523429,0.473381690968787,0.874412069905764,1,1,9
