ComponentOrder,Group,Pathway,PathwayOrder,PathwayDisplay,ComponentOrderWithinPathway,RequestedComponent,MappingStatus,DisplayComponent,OfficialMouseSymbol,EnsemblID,MGI_ID,EntrezID,TissueYARNNormalizedLog2,TissueInputExpressionLog2,TissueSourceExpressionPlus1,MissionN,ObservedMissionN,AnalysisUnitN,FlightSampleN,TissueChinese,TissueLabel,TissueOrder,LookupMouseSymbol,GeneBiotype,Sheet,RowInSheet,PlotPathwayDisplay,PlotComponentOrder
42,Quadriceps femoris,NER,6,NER,6,CSB,reviewed teacher label/alias -> official mouse symbol,Ercc6,Ercc6,ENSMUSG00000054051,MGI:1100494,319955,9.47192940355034,9.50259490842484,740.660878378667,1,1,1,9,股四头肌,"Quadriceps femoris
股四头肌",1,Ercc6,protein_coding,SSB_others,13,NER,41
43,Quadriceps femoris,NER,6,NER,7,DDB1,reviewed teacher label/alias -> official mouse symbol,Ddb1,Ddb1,ENSMUSG00000024740,MGI:1202384,13194,13.7218699229694,13.9239672554402,15580.6739575124,1,1,1,9,股四头肌,"Quadriceps femoris
股四头肌",1,Ddb1,protein_coding,SSB_others,14,NER,42
44,Quadriceps femoris,NER,6,NER,8,DDB2,reviewed teacher label/alias -> official mouse symbol,Ddb2,Ddb2,ENSMUSG00000002109,MGI:1355314,107986,7.57417964689703,7.5186598273656,186.082469119028,1,1,1,9,股四头肌,"Quadriceps femoris
股四头肌",1,Ddb2,protein_coding,SSB_others,15,NER,43
45,Quadriceps femoris,NER,6,NER,9,XPB,reviewed teacher label/alias -> official mouse symbol,Ercc3,Ercc3,ENSMUSG00000024382,MGI:95414,13872,9.07515713752419,9.08546339311883,544.245009468157,1,1,1,9,股四头肌,"Quadriceps femoris
股四头肌",1,Ercc3,protein_coding,SSB_others,16,NER,44
46,Quadriceps femoris,NER,6,NER,10,XPD,reviewed teacher label/alias -> official mouse symbol,Ercc2,Ercc2,ENSMUSG00000030400,MGI:95413,13871,8.11218269531452,8.07857699852442,281.447408043213,1,1,1,9,股四头肌,"Quadriceps femoris
股四头肌",1,Ercc2,protein_coding,SSB_others,17,NER,45
47,Quadriceps femoris,NER,6,NER,11,p8,reviewed teacher label/alias -> official mouse symbol,Gtf2h5,Gtf2h5,ENSMUSG00000034345,MGI:107227,66467,10.6970382055203,10.7906208127777,1775.11346765489,1,1,1,9,股四头肌,"Quadriceps femoris
股四头肌",1,Gtf2h5,protein_coding,SSB_others,18,NER,46
48,Quadriceps femoris,NER,6,NER,12,p34,reviewed teacher label/alias -> official mouse symbol,Gtf2h3,Gtf2h3,ENSMUSG00000029387,MGI:1277143,209357,9.24565549890537,9.26147915840973,617.676951180821,1,1,1,9,股四头肌,"Quadriceps femoris
股四头肌",1,Gtf2h3,protein_coding,SSB_others,19,NER,47
49,Quadriceps femoris,NER,6,NER,13,p44,reviewed teacher label/alias -> official mouse symbol,Gtf2h2,Gtf2h2,ENSMUSG00000021639,MGI:1345669,23894,8.96882228396521,8.97278791943281,503.364764403838,1,1,1,9,股四头肌,"Quadriceps femoris
股四头肌",1,Gtf2h2,protein_coding,SSB_others,20,NER,48
50,Quadriceps femoris,NER,6,NER,14,p52,reviewed teacher label/alias -> official mouse symbol,Gtf2h4,Gtf2h4,ENSMUSG00000001524,MGI:1338799,14885,8.22693987717232,8.20223083969989,298.298980114304,1,1,1,9,股四头肌,"Quadriceps femoris
股四头肌",1,Gtf2h4,protein_coding,SSB_others,21,NER,49
51,Quadriceps femoris,NER,6,NER,15,p62,reviewed teacher label/alias -> official mouse symbol,Gtf2h1,Gtf2h1,ENSMUSG00000006599,MGI:1277216,14884,9.95533134398579,10.0058097455119,1030.6455810701,1,1,1,9,股四头肌,"Quadriceps femoris
股四头肌",1,Gtf2h1,protein_coding,SSB_others,22,NER,50
